epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.038,1.4626,2.43957,1.4733,0.57033,0.19561,0.34898,0.18273,1.40058,3.12712,1.36961,0.000656085,0.000656085,0.000656085
2,741.37,1.49106,2.03375,1.50358,0.31685,0.46316,0.29822,0.11219,1.98182,5.05507,2.34976,0.00130966,0.00130966,0.00130966
3,1095.4,1.53825,1.86258,1.5304,0.3151,0.29579,0.19586,0.07828,2.10572,3.07961,2.70368,0.00195003,0.00195003,0.00195003
4,1443.01,1.54428,1.7082,1.55381,0.27656,0.41474,0.21212,0.09195,1.82411,5.15173,2.2211,0.0019406,0.0019406,0.0019406
5,1791.82,1.53748,1.62977,1.5331,0.58292,0.54632,0.55992,0.27621,1.62554,2.16006,1.73449,0.0019208,0.0019208,0.0019208
6,2119.62,1.50432,1.51635,1.49292,0.35332,0.43895,0.30789,0.13547,1.68457,3.01981,1.72377,0.001901,0.001901,0.001901
7,2483.14,1.49869,1.52855,1.48687,0.60238,0.60947,0.59933,0.31788,1.49213,1.74896,1.55177,0.0018812,0.0018812,0.0018812
8,2805.3,1.42395,1.36826,1.44594,0.55297,0.66526,0.60776,0.36702,1.34271,1.69579,1.45156,0.0018614,0.0018614,0.0018614
9,3128.99,1.37411,1.36415,1.40316,0.63588,0.70211,0.61797,0.3436,1.42396,1.66641,1.47453,0.0018416,0.0018416,0.0018416
10,3455.66,1.41063,1.37426,1.43795,0.56316,0.63374,0.64438,0.39398,1.34787,1.52616,1.44,0.0018218,0.0018218,0.0018218
11,3785.7,1.33724,1.28737,1.3912,0.73938,0.70777,0.76351,0.4622,1.34531,1.28977,1.44684,0.001802,0.001802,0.001802
12,4119.84,1.36322,1.29494,1.41489,0.77739,0.72421,0.7888,0.45822,1.38136,1.3,1.49625,0.0017822,0.0017822,0.0017822
13,4455.77,1.35604,1.24163,1.39051,0.68701,0.68211,0.74925,0.46167,1.27956,1.46927,1.39672,0.0017624,0.0017624,0.0017624
14,4808.02,1.29477,1.22457,1.35505,0.59315,0.68444,0.63316,0.38729,1.32995,1.2862,1.42347,0.0017426,0.0017426,0.0017426
15,5171.04,1.28208,1.1654,1.36468,0.78259,0.70211,0.79074,0.52524,1.15206,1.18359,1.30887,0.0017228,0.0017228,0.0017228
16,5509.95,1.26535,1.15723,1.33861,0.71582,0.69997,0.77027,0.50778,1.15841,1.22498,1.29926,0.001703,0.001703,0.001703
17,5832.08,1.23991,1.11652,1.32256,0.81401,0.74526,0.84123,0.56028,1.13366,1.07239,1.29083,0.0016832,0.0016832,0.0016832
18,6183.5,1.26151,1.15468,1.343,0.70581,0.62,0.67722,0.41888,1.31593,1.54272,1.46471,0.0016634,0.0016634,0.0016634
19,6506.1,1.25068,1.12103,1.33031,0.84327,0.7193,0.8145,0.50741,1.26438,1.14834,1.41196,0.0016436,0.0016436,0.0016436
20,6827.72,1.22436,1.11277,1.3269,0.68094,0.73686,0.77931,0.50697,1.19158,1.21854,1.34729,0.0016238,0.0016238,0.0016238
21,7147.65,1.24568,1.11125,1.33126,0.78898,0.74385,0.82467,0.52989,1.21762,1.09599,1.33613,0.001604,0.001604,0.001604
22,7467.51,1.19939,1.05094,1.29108,0.78489,0.72737,0.81815,0.54423,1.1551,1.04917,1.31619,0.0015842,0.0015842,0.0015842
23,7831.08,1.2043,1.08205,1.30763,0.76198,0.77168,0.83411,0.54577,1.17428,0.98459,1.29865,0.0015644,0.0015644,0.0015644
24,8187.47,1.19677,1.07067,1.29049,0.78777,0.73368,0.82914,0.55146,1.14475,1.03014,1.28375,0.0015446,0.0015446,0.0015446
25,8529.56,1.2105,1.04931,1.3074,0.7841,0.73579,0.79695,0.51697,1.15275,1.0852,1.26846,0.0015248,0.0015248,0.0015248
26,8853.7,1.18892,1.04518,1.2964,0.84089,0.74737,0.85403,0.56665,1.15558,1.02148,1.29186,0.001505,0.001505,0.001505
27,9224.42,1.20076,1.02496,1.29571,0.77871,0.75684,0.83746,0.5689,1.0975,1.05851,1.26302,0.0014852,0.0014852,0.0014852
28,9576.88,1.13538,0.98085,1.26423,0.75059,0.6811,0.79406,0.54979,1.10507,1.07891,1.24306,0.0014654,0.0014654,0.0014654
29,9899.32,1.14891,0.98132,1.26873,0.83192,0.69813,0.81028,0.54479,1.12032,1.11793,1.27299,0.0014456,0.0014456,0.0014456
30,10253.8,1.17618,0.99214,1.27844,0.81462,0.7216,0.80668,0.53415,1.16741,1.11502,1.32911,0.0014258,0.0014258,0.0014258
